 'Henri IV' ; 1553 ; 1610 ; '1589-1610' ; 1 
 'Louis XIII' ; 1601 ; 1643 ; '1610-1643' ; 2, 3 
 'Louis XIV' ; 1638 ; 1715 ; '1643-1715' ; 4 
 'Philippe Ier, duc d'Orleans' ; 1640 ; 1701 ; '' ; 15 
 'Louis le Grand Dauphin' ; 1661 ; 1711 ; '' ; 5, 6 
 'Louis, duc de Bourgogne' ; 1682 ; 1712 ; '' ; 7 
 'Philippe V, roi d'Espagne' ; 1683 ; 1746 ; '' ; 
 'Louis XV' ; 1710 ; 1774 ; '1715-1774' ; 8 
 'Louis, Dauphin' ; 1729 ; 1765 ; '' ; 9, 10, 11 
 'Louis XVI' ; 1754 ; 1793 ; '1754-1793' ; 13 
 'Louis XVIII' ; 1755 ; 1824 ; '1815-1824' ; 
 'Charles X' ; 1756 ; 1832 ; '1824-1830' ; 
 'Louis-Philippe-Joseph "Philippe Egalite"' ; 1747 ; 1793 ; '' ; 14 
 'Louis XVII' ; 1785 ; 1795 ; '' ; 
 'Louis-Philippe Ier, roi des Français' ; 1773 ; 1850 ; '' ; 
 'Philippe II' ; 1674 ; 1723 ; '' ; 16 
 'Louis, duc d'Orleans' ; 1703 ; 1752 ; '' ; 17 
 'Louis-Philippe Ier, duc d'Orleans' ; 1725 ; 1785 ; '' ; 12 
